term,relativity,conf_low,conf_high,p.value
(Intercept),0.494,0.417,0.585,3.8103367171106685e-16
age,0.999,0.998,1.001,0.3982463146620519
genderMale,0.989,0.943,1.038,0.6641942452533365
marital_statusMarried,1.028,0.957,1.105,0.4459923257533367
marital_statusSeparated,1.079,0.975,1.195,0.14162323533096405
marital_statusSingle,0.996,0.929,1.068,0.9134828006170461
car_usePrivate,1.057,0.995,1.124,0.07287162592656031
kids_driving,1.004,0.962,1.048,0.8438409804057108
parentYes,0.991,0.93,1.055,0.7731302061761308
educationHigh School,0.998,0.943,1.057,0.9474431328637335
educationMasters,1.005,0.936,1.079,0.8916502941664192
educationPhD,0.982,0.893,1.081,0.7117923416521112
vehicle_age,0.999,0.996,1.002,0.48144449697494224
coverage_zoneHighly Urban,1.063,0.984,1.148,0.1191852613936691
coverage_zoneRural,1.042,0.965,1.125,0.2973863705705344
coverage_zoneSuburban,1.061,0.983,1.146,0.13050533889705293
coverage_zoneUrban,1.051,0.974,1.135,0.19975558986187475
car_make_groupedAcura,0.922,0.75,1.134,0.44314152012949043
car_make_groupedAston Martin,1.148,0.822,1.604,0.41689845213789134
car_make_groupedAudi,0.911,0.767,1.081,0.28665226129826926
car_make_groupedBentley,0.862,0.628,1.183,0.35918533658313556
car_make_groupedBMW,0.996,0.848,1.171,0.9647226035225316
car_make_groupedBuick,0.997,0.841,1.182,0.9746131679334719
car_make_groupedCadillac,1.155,0.956,1.396,0.13493645733645881
car_make_groupedChevrolet,0.932,0.828,1.05,0.2501176834300346
car_make_groupedChrysler,0.893,0.73,1.093,0.27087079812846676
car_make_groupedDodge,0.99,0.864,1.135,0.8885713804764848
car_make_groupedEagle,0.899,0.565,1.429,0.651736458060334
car_make_groupedFerrari,0.923,0.576,1.477,0.7377774027983083
car_make_groupedGeo,1.614,1.074,2.424,0.021188089720500326
car_make_groupedGMC,0.951,0.827,1.094,0.47926175937694854
car_make_groupedHonda,0.977,0.822,1.162,0.7940806432977344
car_make_groupedHummer,1.348,0.943,1.926,0.10148472120909442
car_make_groupedHyundai,1.067,0.878,1.296,0.5152854874402086
car_make_groupedInfiniti,1.085,0.875,1.345,0.4566547335776255
car_make_groupedIsuzu,1.111,0.863,1.43,0.4128501886148588
car_make_groupedJaguar,1.123,0.855,1.475,0.40477490031241425
car_make_groupedJeep,1.142,0.914,1.428,0.2434014072751806
car_make_groupedKia,1.038,0.829,1.298,0.7459897751562061
car_make_groupedLamborghini,1.247,0.891,1.746,0.19724915521375913
car_make_groupedLand Rover,1.088,0.871,1.359,0.45648240437009396
car_make_groupedLexus,0.818,0.678,0.988,0.0368908419937825
car_make_groupedLincoln,1.042,0.852,1.274,0.6881005701712481
car_make_groupedLotus,1.132,0.823,1.556,0.4463562439987955
car_make_groupedMaserati,1.117,0.805,1.551,0.5071373989882126
car_make_groupedMaybach,1.002,0.674,1.491,0.9902095164209648
car_make_groupedMazda,0.953,0.819,1.11,0.5377187999523465
car_make_groupedMercedes-Benz,1.009,0.868,1.173,0.9079083981080247
car_make_groupedMercury,1.032,0.861,1.238,0.7328728760319081
car_make_groupedMINI,0.736,0.458,1.184,0.2063693174239348
car_make_groupedMitsubishi,1.038,0.896,1.203,0.6176160177607118
car_make_groupedNissan,1.031,0.88,1.209,0.7026957055568008
car_make_groupedOldsmobile,0.934,0.737,1.183,0.5706793053871706
car_make_groupedOther,0.807,0.645,1.011,0.0618895797792938
car_make_groupedPlymouth,0.964,0.73,1.275,0.7987184186108742
car_make_groupedPontiac,1.081,0.93,1.258,0.3112062012023788
car_make_groupedPorsche,0.902,0.714,1.139,0.38684372896372654
car_make_groupedSaab,0.727,0.554,0.955,0.021698077045288245
car_make_groupedSaturn,1.199,0.885,1.625,0.2411780228369078
car_make_groupedScion,1.012,0.684,1.498,0.9533775429260898
car_make_groupedSubaru,1.005,0.823,1.226,0.9627460225101437
car_make_groupedSuzuki,1.093,0.89,1.342,0.3975558975158302
car_make_groupedToyota,0.924,0.805,1.061,0.2648313680232175
car_make_groupedVolkswagen,1.04,0.89,1.216,0.6172758544116039
car_make_groupedVolvo,1.017,0.836,1.236,0.8682589269854697
